date1,hour1,price,output
10.01.2015,14,16.21,13.911
10.01.2015,15,11.34,15.405999999999999
10.01.2015,16,14.15,18.101
10.01.2015,17,18.64,19.425
10.01.2015,18,24.45,20.754
10.01.2015,19,27.75,21.355
10.01.2015,20,24.56,21.502
10.01.2015,21,18.75,20.758000000000003
10.01.2015,22,25.81,21.96
10.01.2015,23,27.67,23.733
11.01.2015,0,26.95,27.5
11.01.2015,1,24.22,29.471999999999998
11.01.2015,2,27.08,32.743
11.01.2015,3,20.91,35.74
11.01.2015,4,13.09,38.543
11.01.2015,5,16.41,41.653999999999996
11.01.2015,6,18.72,44.538999999999994
11.01.2015,7,17.21,43.651
11.01.2015,8,21.2,39.868
11.01.2015,9,25.96,42.648
11.01.2015,10,28.83,44.824
11.01.2015,11,30.73,41.357
11.01.2015,12,31.8,38.448
11.01.2015,13,30.37,37.902
11.01.2015,14,23.39,40.431
11.01.2015,15,12.7,33.898
11.01.2015,16,18.49,30.18
11.01.2015,17,25.81,29.099
11.01.2015,18,35.48,27.825
11.01.2015,19,42.0,25.25
11.01.2015,20,36.08,22.118000000000002
11.01.2015,21,31.8,18.702
11.01.2015,22,33.0,15.115
11.01.2015,23,32.19,10.960999999999999
12.01.2015,0,27.59,6.321000000000001
12.01.2015,1,26.81,4.156000000000001
12.01.2015,2,25.75,5.782
12.01.2015,3,17.86,8.535
12.01.2015,4,15.16,9.086
12.01.2015,5,19.84,5.917000000000001
12.01.2015,6,33.98,2.7569999999999997
12.01.2015,7,45.51,4.185
12.01.2015,8,48.06,6.973
12.01.2015,9,46.2,7.196000000000001
12.01.2015,10,45.0,4.717
12.01.2015,11,45.38,3.127
12.01.2015,12,42.49,2.805
12.01.2015,13,41.53,2.43
12.01.2015,14,36.31,2.7769999999999997
12.01.2015,15,32.37,5.051
12.01.2015,16,33.53,8.635
12.01.2015,17,41.31,12.610999999999999
12.01.2015,18,47.89,16.329
12.01.2015,19,48.42,19.303
12.01.2015,20,41.89,21.714000000000002
12.01.2015,21,35.24,23.554000000000002
12.01.2015,22,37.44,25.302
12.01.2015,23,35.0,26.253
13.01.2015,0,33.04,26.158
13.01.2015,1,26.56,25.136999999999997
13.01.2015,2,26.29,23.730999999999998
13.01.2015,3,17.44,21.529
13.01.2015,4,11.26,20.145
13.01.2015,5,22.29,19.999000000000002
13.01.2015,6,33.78,21.528000000000002
13.01.2015,7,44.94,22.752
13.01.2015,8,49.04,19.422
13.01.2015,9,49.64,12.447000000000001
13.01.2015,10,48.1,8.507
13.01.2015,11,46.95,5.347
13.01.2015,12,46.04,3.201
13.01.2015,13,43.38,3.049
13.01.2015,14,36.48,3.2739999999999996
13.01.2015,15,33.05,4.657
13.01.2015,16,34.13,6.6979999999999995
13.01.2015,17,43.03,9.191
13.01.2015,18,49.22,11.540999999999999
13.01.2015,19,46.38,12.83
13.01.2015,20,42.44,12.472000000000001
13.01.2015,21,33.36,10.149
13.01.2015,22,33.97,7.63
13.01.2015,23,31.39,6.164
14.01.2015,0,34.58,7.803999999999999
14.01.2015,1,29.67,11.658
14.01.2015,2,27.49,15.550999999999998
14.01.2015,3,21.3,16.898
14.01.2015,4,15.59,17.585
14.01.2015,5,18.9,13.985999999999999
14.01.2015,6,34.78,13.386
14.01.2015,7,48.0,12.709000000000001
14.01.2015,8,47.79,10.474
14.01.2015,9,48.14,13.487
14.01.2015,10,45.5,21.524
14.01.2015,11,45.03,28.901
14.01.2015,12,45.5,30.233
14.01.2015,13,40.81,21.844
14.01.2015,14,42.04,14.133
14.01.2015,15,38.94,7.445
14.01.2015,16,41.15,3.705
14.01.2015,17,48.93,1.413
14.01.2015,18,50.99,1.197
14.01.2015,19,50.94,1.6380000000000001
14.01.2015,20,44.99,5.656000000000001
14.01.2015,21,38.62,10.061
14.01.2015,22,39.54,15.552
14.01.2015,23,38.92,20.586
15.01.2015,0,30.44,23.531
15.01.2015,1,24.91,24.184
15.01.2015,2,22.67,22.557
15.01.2015,3,16.87,21.353
